"row_key","gid","probe_uid","cdt_historical_id","gpl_orf","gpl_feature_name","gpl_gene_symbol","current_sgd_id","current_systematic_id","current_standard_name","current_feature_type","current_qualifier","mapping_status","mean_p","mean_non_p","p_effect","p_consistency_count","median_p","median_non_p","background_mad","p_specificity_score","p_specificity_rank","fixed_threshold_member","top_133_score_member"
"A_06_P4360","GENE459X","A_06_P4360","YJR117W","YJR117W","YJR117W","STE24","S000003878","YJR117W","STE24","ORF","Verified","current",-1.21666666666667,-0.49,-0.726666666666667,0,-1.305,-0.45,0.489258,-1.45097733081265,5039,FALSE,FALSE
"A_06_P4036","GENE5031X","A_06_P4036","YJL014W","YJL014W","YJL014W","CCT3","S000003551","YJL014W","CCT3","ORF","Verified","current",0.07,0.25,-0.18,0,0.04,0.325,0.096369,-1.45134924555302,5040,FALSE,FALSE
"A_06_P3905","GENE3107X","A_06_P3905","YIL106W","YIL106W","YIL106W","MOB1","S000001368","YIL106W","MOB1","ORF","Verified","current",-0.37,0.171,-0.541,0,-0.375,0.19,0.289107,-1.45204275430666,5041,FALSE,FALSE
"A_06_P4879","GENE618X","A_06_P4879","YLR067C","YLR067C","YLR067C","PET309","S000004057","YLR067C","PET309","ORF","Verified","current",-0.47,-0.172666666666667,-0.297333333333333,1,-0.49,-0.15,0.133434,-1.45651447518356,5042,FALSE,FALSE
"A_06_P1495","GENE314X","A_06_P1495","YBR241C","YBR241C","YBR241C","ORF:YBR241C","S000000445","YBR241C","VVS1","ORF","Verified","current",-0.638333333333333,0.245333333333333,-0.883666666666667,0,-0.625,0.105,0.400302,-1.45911869230984,5043,FALSE,FALSE
"A_06_P5015","GENE3928X","A_06_P5015","YLR201C","YLR201C","YLR201C","ORF:YLR201C","S000004191","YLR201C","COQ9","ORF","Verified","current",-0.146666666666667,0.300666666666667,-0.447333333333333,0,-0.12,0.275,0.170499,-1.4602641784258,5044,FALSE,FALSE
"A_06_P3640","GENE1487X","A_06_P3640","YHR067W","YHR067W","YHR067W","RMD12","S000001109","YHR067W","HTD2","ORF","Verified","current",-0.241666666666667,0.234,-0.475666666666667,0,-0.245,0.215,0.214977,-1.46042409445769,5045,FALSE,FALSE
"A_06_P1084","GENE825X","A_06_P1084","YAL060W","YAL060W","YAL060W","BDH1","S000000056","YAL060W","BDH1","ORF","Verified","current",-1.315,-0.631,-0.684,0,-1.505,-0.535,0.563388,-1.4621910556115,5046,FALSE,FALSE
"A_06_P6899","GENE1983X","A_06_P6899","YPL140C","YPL140C","YPL140C","MKK2","S000006061","YPL140C","MKK2","ORF","Verified","current",-0.608333333333333,-0.207666666666667,-0.400666666666667,0,-0.625,-0.24,0.163086,-1.46339980082559,5047,FALSE,FALSE
"A_06_P4180","GENE4037X","A_06_P4180","YJL158C","YJL158C","YJL158C","CIS3","S000003694","YJL158C","CIS3","ORF","Verified","current",-0.485,0.0456666666666667,-0.530666666666667,0,-0.56,0.01,0.289107,-1.46489269018548,5048,FALSE,FALSE
"A_06_P2933","GENE2785X","A_06_P2933","YFR035C","YFR035C","YFR035C","ORF:YFR035C","S000001931","YFR035C","","ORF","Verified","current",-0.126666666666667,0.345666666666667,-0.472333333333333,1,-0.165,0.46,0.326172,-1.46654402447838,5049,FALSE,FALSE
"A_06_P6306","GENE1772X","A_06_P6306","YOL113W","YOL113W","YOL113W","SKM1","S000005473","YOL113W","SKM1","ORF","Verified","current",-0.175,0.242666666666667,-0.417666666666667,0,-0.16,0.215,0.155673,-1.46671725211501,5050,FALSE,FALSE
"A_06_P2434","GENE3862X","A_06_P2434","YDR441C","YDR441C","YDR441C","APT2","S000002849","YDR441C","APT2","ORF","Verified","current",-0.763333333333333,-0.167333333333333,-0.596,0,-0.725,-0.23,0.237216,-1.4679018789144,5051,FALSE,FALSE
"A_06_P4346","GENE307X","A_06_P4346","YJR103W","YJR103W","YJR103W","URA8","S000003864","YJR103W","URA8","ORF","Verified","current",-0.635,0.439666666666667,-1.07466666666667,0,-0.55,0.435,0.570801,-1.46839375612141,5052,FALSE,FALSE
"A_06_P3453","GENE4077X","A_06_P3453","YGR232W","YGR232W","YGR232W","NAS6","S000003464","YGR232W","NAS6","ORF","Verified","current",-0.276666666666667,0.132333333333333,-0.409,0,-0.295,0.135,0.192738,-1.46889027048077,5053,FALSE,FALSE
"A_06_P3677","GENE853X","A_06_P3677","YHR102W","YHR102W","YHR102W","KIC1","S000001144","YHR102W","KIC1","ORF","Verified","current",-0.341666666666667,0.490666666666667,-0.832333333333333,0,-0.345,0.325,0.355824,-1.46986556214679,5054,FALSE,FALSE
"A_06_P3840","GENE4750X","A_06_P3840","YIL040W","YIL040W","YIL040W","ORF:YIL040W","S000001302","YIL040W","APQ12","ORF","Verified","current",-0.175,0.0543333333333333,-0.229333333333333,1,-0.28,0.26,0.266868,-1.47191905535506,5055,FALSE,FALSE
"A_06_P5013","GENE2716X","A_06_P5013","YLR199C","YLR199C","YLR199C","ORF:YLR199C","S000004189","YLR199C","PBA1","ORF","Verified","current",-0.135,0.0913333333333333,-0.226333333333333,0,-0.235,0.12,0.140847,-1.47396479922939,5056,FALSE,FALSE
"A_06_P3275","GENE1111X","A_06_P3275","YGR055W","YGR055W","YGR055W","MUP1","S000003287","YGR055W","MUP1","ORF","Verified","current",-2.24666666666667,0.131666666666667,-2.37833333333333,0,-2.045,-0.17,1.171254,-1.47492161283268,5057,FALSE,FALSE
"A_06_P6384","GENE5485X","A_06_P6384","YOR022C","YOR022C","YOR022C","ORF:YOR022C","S000005548","YOR022C","DDL1","ORF","Verified","current",-0.325,0.0583333333333333,-0.383333333333333,0,-0.35,0.06,0.177912,-1.47528714125335,5058,FALSE,FALSE
"A_06_P1892","GENE3197X","A_06_P1892","YDL159W","YDL159W","YDL159W","STE7","S000002318","YDL159W","STE7","ORF","Verified","current",-0.305,0.0766666666666667,-0.381666666666667,0,-0.375,0.035,0.177912,-1.47528714125335,5059,FALSE,FALSE
"A_06_P7057","GENE674X","A_06_P7057","YPR012W","YPR012W","YPR012W","ORF:YPR012W","S000006216","YPR012W","","ORF","Dubious","current",-0.451666666666667,0.0341379310344828,-0.485804597701149,0,-0.47,0.05,0.252042,-1.47709648280603,5060,FALSE,FALSE
"A_06_P4383","GENE4311X","A_06_P4383","YJR139C","YJR139C","YJR139C","HOM6","S000003900","YJR139C","HOM6","ORF","Verified","current",-0.665,0.081,-0.746,0,-0.69,-0.115,0.289107,-1.4777426260643,5061,FALSE,FALSE
"A_06_P1595","GENE2229X","A_06_P1595","YCL043C","YCL043C","YCL043C","PDI1","S000000548","YCL043C","PDI1","ORF","Verified","current",-0.55,-0.0623333333333333,-0.487666666666667,0,-0.67,0.015,0.363237,-1.47872471326772,5062,FALSE,FALSE
